crop,epoch,phase,accuracy,val_accuracy,loss,val_loss,learning_rate
corn,35,Phase 2,0.976799726486206,0.9605734944343568,0.1445048004388809,0.1973313093185424,9.999999747378752e-05
corn,36,Phase 2,0.9761173725128174,0.966547191143036,0.1439969688653946,0.1956245303153991,9.999999747378752e-05
corn,37,Phase 2,0.9805527329444884,0.9629629850387572,0.1321845948696136,0.2232125252485275,9.999999747378752e-05
corn,38,Phase 2,0.9832821488380432,0.9629629850387572,0.125231996178627,0.226840078830719,9.999999747378752e-05
corn,39,Phase 2,0.9808939099311828,0.959378719329834,0.1315742135047912,0.217746764421463,4.999999873689376e-05
rice,0,Full Training,0.6245828866958618,0.7251461744308472,1.1133992671966553,0.8908655643463135,9.999999747378752e-05
rice,1,Full Training,0.753615140914917,0.8167641162872314,0.77748042345047,0.6302634477615356,9.999999747378752e-05
rice,2,Full Training,0.7975528240203857,0.8538011908531189,0.6093147993087769,0.4765673279762268,9.999999747378752e-05
rice,3,Full Training,0.8387096524238586,0.9064327478408812,0.5588080883026123,0.3105555772781372,9.999999747378752e-05
rice,4,Full Training,0.8520578145980835,0.92592591047287,0.459932804107666,0.2514636218547821,9.999999747378752e-05
rice,5,Full Training,0.8876529335975647,0.9512670636177064,0.3976957499980926,0.2131340056657791,9.999999747378752e-05
rice,6,Full Training,0.8943270444869995,0.9512670636177064,0.3720048069953918,0.1891122162342071,9.999999747378752e-05
rice,7,Full Training,0.9048943519592284,0.9688109159469604,0.3332550823688507,0.1626372188329696,9.999999747378752e-05
rice,8,Full Training,0.9104560613632202,0.9727095365524292,0.3271945714950561,0.1407057493925094,9.999999747378752e-05
rice,9,Full Training,0.9265850782394408,0.9727095365524292,0.3011743426322937,0.1404629349708557,9.999999747378752e-05
rice,10,Full Training,0.9249165654182434,0.9785575270652772,0.2785957753658294,0.1359473615884781,9.999999747378752e-05
rice,11,Full Training,0.931034505367279,0.9824561476707458,0.2625192403793335,0.1228999197483062,9.999999747378752e-05
rice,12,Full Training,0.9427141547203064,0.988304078578949,0.2276329547166824,0.1142292022705078,9.999999747378752e-05
rice,13,Full Training,0.9421579241752625,0.9824561476707458,0.2399077266454696,0.1122083067893982,9.999999747378752e-05
rice,14,Full Training,0.9566184878349304,0.9863547682762146,0.1969229727983474,0.1022859513759613,9.999999747378752e-05
rice,15,Full Training,0.9382647275924684,0.988304078578949,0.2329556792974472,0.1052324697375297,9.999999747378752e-05
rice,16,Full Training,0.9605116844177246,0.988304078578949,0.1990869343280792,0.1037070974707603,9.999999747378752e-05
rice,17,Full Training,0.9521690607070924,0.9941520690917968,0.2017015367746353,0.0948290079832077,9.999999747378752e-05
rice,18,Full Training,0.9610678553581238,0.9805068373680116,0.2004568725824356,0.1194441244006156,9.999999747378752e-05
rice,19,Full Training,0.969410479068756,0.9922027587890624,0.1614497154951095,0.0929179117083549,9.999999747378752e-05
soybean,0,Full Training,0.555831253528595,0.800000011920929,1.2680233716964722,0.833808958530426,9.999999747378752e-05
soybean,1,Full Training,0.774193525314331,0.8608695864677429,0.7881004810333252,0.6341260075569153,9.999999747378752e-05
soybean,2,Full Training,0.8287841081619263,0.895652174949646,0.4845375418663025,0.4956668317317962,9.999999747378752e-05
soybean,3,Full Training,0.8610422015190125,0.8782608509063721,0.4177505373954773,0.4525479972362518,9.999999747378752e-05
soybean,4,Full Training,0.8858560919761658,0.8782608509063721,0.3343152105808258,0.4741407930850982,9.999999747378752e-05
soybean,5,Full Training,0.9007444381713868,0.904347836971283,0.3207309544086456,0.3701974749565124,9.999999747378752e-05
soybean,6,Full Training,0.9205955266952516,0.939130425453186,0.2717101573944092,0.3247621357440948,9.999999747378752e-05
soybean,7,Full Training,0.9305210709571838,0.947826087474823,0.2848432958126068,0.2357503920793533,9.999999747378752e-05
soybean,8,Full Training,0.9478908181190492,0.95652174949646,0.2768489122390747,0.241691917181015,9.999999747378752e-05
soybean,9,Full Training,0.9503722190856934,0.95652174949646,0.2016389966011047,0.236976757645607,9.999999747378752e-05
soybean,10,Full Training,0.9578163623809814,0.95652174949646,0.1939270496368408,0.248374804854393,9.999999747378752e-05
soybean,11,Full Training,0.9677419066429138,0.9652174115180968,0.1636942774057388,0.278547078371048,9.999999747378752e-05
soybean,12,Full Training,0.9652605652809144,0.9652174115180968,0.1644345670938491,0.2483182996511459,9.999999747378752e-05
soybean,13,Full Training,0.9652605652809144,0.9652174115180968,0.1477585434913635,0.2468210905790329,4.999999873689376e-05
soybean,14,Full Training,0.9826302528381348,0.9652174115180968,0.1358078271150589,0.2343208342790603,4.999999873689376e-05
soybean,15,Full Training,0.9801489114761353,0.9652174115180968,0.1375887989997863,0.2198337763547897,4.999999873689376e-05
soybean,16,Full Training,0.9677419066429138,0.9652174115180968,0.1382406949996948,0.2439783215522766,4.999999873689376e-05
soybean,17,Full Training,0.9826302528381348,0.9652174115180968,0.1264931112527847,0.2558887302875519,4.999999873689376e-05
soybean,18,Full Training,0.9826302528381348,0.9652174115180968,0.1234887540340423,0.2484913766384124,4.999999873689376e-05
soybean,19,Full Training,0.9727047085762024,0.9652174115180968,0.1350847035646438,0.2422107458114624,4.999999873689376e-05
